Date,Location Blurb,Topics,Audience,Status
2024 August,Macquarie University,Research and Undergraduate Policy,Department of Security Studies,Invited
2024 July,Macquarie University,"Policy, Prompts, Introduction","Deputy Vice-Chancellor, Research and team",Invited
2024 July,"University of Oregon, Eugene, OR",Introduction,Academics,Invited
2024 July,"Santa Clara University, IEEE Silicon Valley",Introduction,"Academics, IEEE Silicon Valley Members",Invited
2024 June,Macquarie University,Introduction,"Deputy Vice-Chancellor, Research and team",Organised
2024 June,"NBN Co Limited, Sydney",Introduction,"NBNco staff and executive council, ASTRID project",Invited
2024 June,Macquarie University,Research and Undergraduate Policy,Department of Linguistics,Invited
2024 June,Macquarie University,Introduction,Philosophy postgraduates and faculty,Invited
2024 March,University of Sydney,Object based learning and AI,"Museum staff, students",Organised
2024 February,Online for The Research Society,"""Using Generative AI to strengthen your business.” (Policy, prompting)",Research Society members,Invited
2024 February,Macquarie University,Introduction,"Graduate students, staff",Organised
2024 February,Macquarie University,Research and Undergraduate Policy,Department of History and Archaeology,Invited
2023 November,University of Tasmania,Introduction,Antarctic Scientists and Postgraduate students,Invited
2023 November,Macquarie University,Research and Undergraduate Policy,School of Law,Invited
2023 November,Macquarie University,Research and Undergraduate Policy,Department of Philosophy,Organised
2023 October,"ResBaz, University of Sydney",Introduction,ResBaz conference,Invited
2023 September,Macquarie University,Introduction,Postgraduate students and ECRs,Organised
2023 July,University of Leipzig,Introduction,Postgraduate Students,Invited
2023 July,Charles University,Introduction,IACAP 2023 conference,Invited
2023 June,Justus Liebig University Giessen,Introduction,Postgraduate Students and Staff,Invited
2023 June,Macquarie University Incubator,Introduction,"Public, University Students and Staff",Organised
