ProjectName,Date,Role,Location,Description1,Description2,Status,Carpentries
Keynote: Justus Liebig University Giessen - Avoiding Sadness: Research policy for Generative AI,2024 July,Keynote Presenter,"Online Keynote, JLU Giessen",Invited Research policy keynote for researchers at JLU.,,Presentation,
IACAP 2024 - Is the `Calculator for Words' Metaphor Useful for Communicating about LLMs?,2024 July,Presenter,"International Association of Computing and Philosophy Conference, 2024 – Oregon",Philosophy Conference presentation,,Conference,
"Digital Humanities Winter School, 2023",2023 July,Instructor,"Macquarie University, City Campus",International Winter School on Digital Humanities and corpus linguistic techniques,,Presentation,
"IACAP 2023 - Exploratory Sandboxes and Experimental AI ethics: Performing Regulations over Prompts, Model Chaining, and Guidance programs",2023 July,Presenter,"International Association of Computing and Philosophy Conference, 2023 – Prague",Philosophy Conference presentation,,Conference,
IACAP 2023 - The Colour of Offline Data,2023 July,Presenter,"International Association of Computing and Philosophy Conference, 2023 – Prague",Philosophy Conference presentation,,Conference,
"Harvard/NATO GSE Network - Online Right-Wing Extremism: New South Wales, Australia",2020 December,Presenter,"Online Workshop, Harvard University","This presentation, outlined the Mapping Right Wing Extremism project for a Harvard and NATO international workshop.",,Presentation,
Lesson co-development using reverse design: a worked example,2020 August,Presenter,"Online Workshop, CarpentryCon@Home",We demonstrate how the constraints of reverse design reduce the uncertainty of a blank page titled 'Lesson 1'. Nowhere does the Carpentries demonstrate the full cycle of instructional design. We propose this workshop - co-developed by two experienced instructors - using this approach. The process of the development of this workshop is documented and shared as the content of the workshop.,,Conference,
"Online Right Wing Extremism: New South Wales, Australia",2020 December,Presenter,Global Safety Evaluation (GSE) Workshop,Invited online presentation to Harvard University and NATO member and partner countries for Violent Extremism prevention,"Online presentations organised by the Emergency Preparedness Research Evaluation and Practice Program, Harvard",Presentation,
The Online Presence of Australian Far Right Extremism,2020 November,Presenter,Lowy Institute Webinar,"Invited presenter on a webinar is the second in a series of workshops that are part of the Lowy Institute’s core partnership with the Global Network on Extremism and Technology (GNET), the research arm of the Global Internet Forum to Counter Terrorism. The aim of this work is to understand better the ways in which terrorists and extremists use technology.",,Presentation,
Remote Research Challenges 3: Remote Data Storage and Analysis,2020 June,Panelist,AARnet Webinar,Invited panellist to demonstrate innovative ways of using CloudStor in Academic Research,,Presentation,
Mapping Networks and Narratives of Online Right Wing Extremists in New South Wales,2020 February,Presenter,NSW Department of Communities and Justice,High level brief to multiple senior civil servants and police representatives on our analysis of Far Right Extremism in NSW on Social Media,,Presentation,
"The Case for Work, eResearch Talk",2019 December,Presenter,Macquarie University Library,Talk for PVC Peter Nelson’s eResearch series on development of onwork.edu.au,,Campus,
Extended Brief on Far-Right Extremism,2019 November,Presenter,NSW Department of Communities and Justice,"Providing a confidential research update, discussing our research to date on far-right extremism",,Presentation,
Analysis Before the Spade,2019 November,Presenter,"CACHE Workshop, Macquarie University",Presenting a book chapter on the need for preregistration in Archaeology,,Campus,
"Lessons learned from Data Analysis projects in Natural Language Processing with Japanese and Security Studies data - Shell Scripts, Jupyter Notebooks, and the value of doctests",2019 November,Presenter,"Digital Approaches to Research in Humanities and Social Sciences Workshop, Aarhus University",Remote presentation to scholars at Aarhus regarding the value of scripted doctests in a research context.,,Presentation,
Git for Macquarie R Users Group,2018 August,Presenter,"MQ R Users Group, Macquarie University",On the importance of incorporating Git into academic workflows,,Campus,
"Open Data, The Reproducibility Problem, and Sympathetic Magic",2016 December,Presenter,Macquarie Minds 2016,Presentation for the Macquarie Minds Event,,Campus,
Arbitrary Offline Data Capture on all of your Androids: The FAIMS Mobile Platform,2013 March,Presenter,"Computer Applications in Archaeology conference, Perth",Presenting on FAIMS2 architecture,,Conference,
FAIMS \& Open Source Applications in Archaeology,2013 January,Presenter,"World Archaeological Conference 7, Jordan",Presenting on FAIMS1 prototype,,Conference,
Extending the ETL Process Through a Working Data Interchange Graph and Understanding Different Realities of Data,2012 October,Presenter,eResearch Australasia 2012,Presenting design constraints of FAIMS as seen through the Philosophy of Data,,Conference,
What is Data: some Different Philosophies of Data,2012 August,"Presenter, Host",FAIMS Workshop,Presenting the Philosophy of Data to archaeologists at the FAIMS Workshop,,Conference,
"\#c3t An Agreeable Swarm: Twitter, the Democratisation of Media \& Non-Localised Proximity",2010 November,Presenter,International Conference on Computer and Information Technology 2010,Presenting co-authored Twitter research with Kate Carruthers,,Conference,
\#c3t The Command \& Control of Twitter: on a Socially Constructed Twitter \& Applications of the Philosophy of Data,2010 November,Presenter,International Conference on Computer and Information Technology 2010,Presenting co-authored Twitter research with Kate Carruthers,,Conference,
Asking about Data: Experimental Philosophy of Information Technology,2010 November,Presenter,International Conference on Computer and Information Technology 2010,Presenting dissertation research about the Philosophy of Data.,,Conference,
Flying a Manta with Gesture and Controller: An Exploration of Certain Interfaces in Human-Robot Interaction,2007 May,Presenter,Gesture Workshop 2007,"Presenting thesis research at the Gesture Workshop 2007 in Lisbon, Portugal",,Conference,
The Manta Project,2006 August,Presenter,ReActor,"Presented Masters research (Giant wire-guided “manta ray” controlled via haptic glove) for (re)Actor, London",,Conference,
